FID,OBJECTID,Intersecti,All_Motori,F__Truck,Pedestrian,Cyclist_No,Data_Colle
584,584,PRINCE OF WALES DR @ FALLOWFIELD RD,22433,2.21%,0,0,2016-Feb-11
585,585,PRINCE OF WALES DR @ FALLOWFIELD RD,27854,2.00%,0,44,2016-Sep-14
586,586,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,36792,2.07%,848,358,2016-Jul-20
587,587,PRINCE OF WALES DR @ MERIVALE RD,18261,2.54%,6,1,2016-Apr-06
588,588,PRINCE OF WALES DR @ MERIVALE RD,20964,2.87%,2,11,2016-Oct-19
589,589,PRINCE OF WALES DR @ NORMANDY CRES S/KOCHAR DR,20213,2.72%,47,274,2016-Aug-24
590,590,PRINCE OF WALES DR @ RIDEAU HEIGHTS DR/WELLSME,29331,2.93%,5,303,2016-Jun-28
591,591,PRINCE OF WALES DR @ WEST HUNT CLUB RD,64013,3.52%,29,6,2016-Apr-06
592,592,ProposedCANYON WALK DR @ EARL ARMSTRONG RD,17860,3.62%,12,0,2016-Jan-12
593,593,QUEEN ELIZABETH DRWY @ SOMERSET ST,5652,0.90%,1013,2645,2016-Jul-12
594,594,QUEENSDALE AVE @ ALBION RD,8577,3.63%,85,34,2016-May-18
595,595,RAYMOND ST/HWY 417 ROCHEST IC121BR16 @ ROCHEST,13293,3.85%,281,22,2016-Nov-16
596,596,REDWOOD AVE @ RICHMOND RD,13239,3.00%,75,64,2016-Jun-08
597,597,RENAUD RD @ NAVAN RD,16280,8.94%,48,5,2016-Jun-08
598,598,RENAUD RD @ SADDLERIDGE DR,9785,4.89%,32,11,2016-Nov-02
599,599,RESEARCH RD @ UPLANDS DR,9921,6.22%,9,3,2016-Jan-20
600,600,RICHARDSON AVE @ RICHMOND RD,15505,3.28%,4,10,2016-Nov-22
601,601,RICHMOND RD @ EDGEWORTH AVE/MCEWEN AVE,15193,2.60%,361,87,2016-Aug-25
602,602,RICHMOND RD @ WEST HUNT CLUB RD,22199,2.59%,0,0,2016-Apr-07
603,603,RICHMOND RD @ WOODROFFE AVE,31360,2.62%,438,20,2016-Dec-01
604,604,RIDEAU ST @ WURTEMBURG ST,23373,4.14%,653,272,2016-Jun-08
605,605,RIDEAU ST @ WURTEMBURG ST,26544,3.82%,714,313,2016-Sep-21
606,606,RIDEAU VALLEY DR E @ ROGER STEVENS DR E,8272,7.71%,0,11,2016-Jun-22
607,607,RIOCAN AVE @ STRANDHERD DR,26808,2.74%,171,24,2016-Aug-04
608,608,RIVER RD @ 175 N OF EARL ARMSTRONG/LOBLAWS SC,12257,1.72%,6,0,2016-Feb-17
609,609,RIVER RD @ 700 N OF EARL ARMSTRONG RD,13802,2.08%,17,1,2016-Mar-08
610,610,RIVER RD @ TEWSLEY,14150,2.08%,36,1,2016-Mar-08
611,611,RIVERGATE WAY @ RIVERSIDE DR,31359,2.98%,58,63,2016-Jun-08
612,612,RIVERGATE WAY @ RIVERSIDE DR,34169,2.71%,77,40,2016-Sep-28
613,613,RIVERGATE WAY @ RIVERSIDE DR,33399,2.66%,53,48,2016-Sep-01
614,614,RIVERSIDE DR @ BROOKFIELD RD/HOG'S BACK RD,43852,1.72%,406,108,2016-Jul-20
615,615,RIVERSIDE DR @ HERON RD,54734,3.12%,155,85,2016-Aug-03
616,616,RIVERSIDE DR @ UPLANDS DR/KIMBERWICK CRES N,32971,2.46%,184,7,2016-Nov-16
617,617,RIVERSIDE DR @ WALKLEY RD,38098,2.02%,65,1,2016-Jan-29
618,618,ROCHESTER ST @ SOMERSET ST,10720,3.78%,1192,261,2016-Nov-16
619,619,ROCKY HILL DR @ PRINCE OF WALES DR,20843,3.15%,5,2,2016-Jan-12
620,620,RODEO DR @ LONGFIELDS DR,10749,2.16%,536,0,2016-Feb-04
621,621,ROSEHILL AVE @ HUNTMAR DR,19104,2.63%,116,0,2016-Dec-06
622,622,ROSS AVE @ SCOTT ST,13661,3.26%,631,419,2016-Oct-19
623,623,RUSSELL RD @ SOUTHVALE CRES N,15695,11.97%,321,7,2016-Nov-08
624,624,RUSSELL RD @ ST. LAURENT SERVICE RD,29737,7.29%,117,5,2016-Nov-29
625,625,RUSSELL RD @ TUPPER AVE,12282,12.21%,219,10,2016-Nov-17
626,626,SADDLERIDGE DR @ SADDLERIDGE DR,1339,11.02%,87,11,2016-Sep-07
627,627,SANFORD FLEMING AVE @ TERMINAL AVE,9781,17.56%,979,43,2016-Sep-08
628,628,SAUNDERSON DR @ PLEASANT PARK RD,7571,2.64%,172,128,2016-Jun-22
629,629,SAVILLE ROW @ WOODROFFE AVE,17237,2.91%,164,37,2016-Aug-25
630,630,SCHUBERT CIRC @ AQUAVIEW DR,1874,3.01%,13,0,2016-Mar-09
631,631,SHADY GROVE ST @ WOODROFFE AVE,2465,3.47%,77,9,2016-Sep-08
632,632,SILVER SEVEN RD @ 280 N OF PALLADIUM DR/COSTCO,16210,1.21%,92,9,2016-Aug-17
633,633,SLACK RD @ WOODROFFE AVE,34079,1.77%,35,7,2016-Mar-30
634,634,SMYTH RD @ GENERAL HOSPITAL E,24162,3.32%,602,3,2016-Jan-29
635,635,SMYTH RD E/LANCASTER RD @ ST. LAURENT BLVD N/R,42561,5.74%,312,14,2016-Jan-28
636,636,SMYTH RD/OTHELLO AVE @ RUSSELL RD W,23135,3.86%,542,4,2016-Nov-29
637,637,SNAKE ISLAND RD @ STAGECOACH RD,6973,12.29%,7,0,2016-Jun-28
638,638,SOLSTICE WAY @ SUMMER DAYS WALK,1371,4.38%,134,6,2016-Sep-28
639,639,SOMERSET ST @ EMPRESS AVE,10019,3.75%,1203,296,2016-Nov-16
640,640,ST. LAURENT BLVD @ MCARTHUR AVE,36402,4.25%,287,3,2016-Jan-19
641,641,ST. LAURENT BLVD @ ST. LAURENT BLVD SERVICE,26013,5.07%,823,3,2016-Dec-06
642,642,ST. LAURENT BLVD @ WALKLEY RD,38267,4.82%,251,3,2016-Feb-04
643,643,STANLEY AVE @ SUSSEX DR,25424,1.27%,273,352,2016-Sep-08
644,644,STITTSVILLE MAIN ST @ AMBERLAKES DR/NEIL AVE,12323,2.05%,103,21,2016-Jun-21
645,645,STITTSVILLE MAIN ST @ HAZELDEAN RD,27807,2.94%,130,3,2016-Mar-23
646,646,STONEHAVEN DR @ SAWYER WAY/SUMMITVIEW DR,14763,2.95%,77,35,2016-Jun-17
647,647,STONEHAVEN DR @ SAWYER WAY/SUMMITVIEW DR,16357,2.25%,111,25,2016-Oct-05
648,648,STONEHAVEN DR @ STONEMEADOW DR,11529,3.79%,400,39,2016-Jun-17
649,649,STONEWAY DR @ WINDHURST DR E,2926,5.27%,60,0,2016-Feb-04
650,650,STONEWAY DR W @ WINDHURST DR W,4744,3.70%,108,0,2016-Feb-04
651,651,STRANDHERD @ KENNEVALE DR,28377,5.33%,3,0,2016-Dec-08
652,652,STRANDHERD DR @ LONGFIELDS DR,42525,2.25%,422,0,2016-Jan-29
653,653,STRANDHERD DR @ LONGFIELDS DR,33911,2.79%,193,20,2016-Aug-16
654,654,STRANDHERD DR @ TARTAN DR,25781,6.78%,0,3,2016-Nov-24
655,655,STRANDHERD DR @ WOODROFFE AVE,39564,2.36%,226,19,2016-Aug-16
656,656,SULLIVAN AVE @ VIEWMOUNT DR,4041,4.78%,45,2,2016-Feb-09
657,657,SUNNYSIDE DR @ FERNBANK RD,5169,4.12%,70,31,2016-Jun-21
658,658,SUSSEX DR @ 262 N OF KING EDWARD AVE,32976,0.92%,687,39,2016-Dec-06
659,659,TERON RD @ BEAVERBROOK RD/PENFIELD DR N,10559,3.24%,120,68,2016-Aug-10
660,660,TERRY FOX DR @ 135 S OF HAZELDEAN RD/SOBEY'S S,24683,2.39%,100,43,2016-Aug-17
661,661,TERRY FOX DR @ 240 S OF EDGEWATER ST,29114,3.66%,44,12,2016-Mar-08
662,662,TERRY FOX DR @ EDGEWATER ST/WALTER BAKER PL,34019,4.49%,22,3,2016-Mar-03
663,663,TERRY FOX DR @ HALKIRK AVE/WINCHESTER DR,21713,2.39%,122,51,2016-Aug-17
664,664,TERRY FOX DR @ PALLADIUM DR/KATIMAVIK RD,48048,3.11%,130,7,2016-Mar-08
665,665,TILLBURY AVE @ WINDERMERE AVE,1476,2.96%,75,52,2016-Sep-08
666,666,TRANSITWAY - LINCOLN FIEL @ OTTAWA RIVER PKWY,18352,4.34%,449,0,2016-Aug-25
667,667,TRIM RD @ TRIM RD,9656,5.36%,7,2,2016-Jan-13
668,668,TWEEDSMUIR AVE @ SCOTT ST,8918,4.98%,1713,426,2016-Aug-24
669,669,VIEWMOUNT DR @ MERIVALE RD,40292,3.18%,1214,10,2016-Mar-11
670,670,VISTAPARK DR @ BRANTHAVEN ST,1401,2.21%,193,21,2016-Sep-07
671,671,WALKLEY RD @ DON REID DR/RYDER ST,38439,3.75%,81,7,2016-Nov-29
672,672,WALKLEY RD @ GLENHAVEN PRIV,25334,2.39%,494,7,2016-Dec-07
673,673,WALKLEY RD @ HEATHERINGTON RD,22444,4.92%,585,6,2016-Nov-16
674,674,WALKLEY RD @ SPRINGLAND DR/OTTERSON DR,17478,1.85%,74,21,2016-Nov-16
675,675,WATERBRIDGE DR @ CRESTWAY DR,6876,1.83%,52,2,2016-Mar-08
676,676,WELLINGTON ST @ LETT ST,26509,1.05%,161,163,2016-Aug-31
677,677,WEST HUNT CLUB RD @ CLEOPATRA DR/LANCELOT DR,39801,3.44%,73,16,2016-Mar-30
678,678,WEST HUNT CLUB RD @ WOODROFFE AVE,54343,3.96%,47,9,2016-Apr-06
679,679,WOODROFFE AVE @ CRESTHAVEN DR/PAUL METIVIER,7470,3.49%,146,19,2016-Jun-02
680,680,WOODROFFE AVE @ FIRESTATION,38872,2.60%,136,146,2016-Aug-17
681,681,WOODROFFE AVE @ GEORGINA DR/LENESTER AVE,31307,2.16%,248,7,2016-Mar-09
682,682,WOODROFFE AVE @ HWY 417 WOODROFF IC127R26/HWY4,35205,2.84%,51,30,2016-Aug-17
683,683,WOODROFFE AVE @ KNOXDALE RD/MEDHURST DR,44735,3.63%,1014,24,2016-Mar-30
684,684,WOODROFFE AVE @ QUEENSBURY DR/RIDEAUCREST DR,28690,2.35%,365,4,2016-Mar-23
685,685,WOODROFFE AVE @ SPORTSPLEX N,27081,3.61%,172,110,2016-Aug-17
686,686,WOODROFFE AVE @ SPORTSPLEX S,25282,2.78%,35,110,2016-Aug-17
687,687,WOODROFFE AVE/HWY 417 WOODROFF IC127R25 @ HWY,48558,2.64%,35,19,2016-Aug-17
