Intersection,All_Motorized_Vehicles_AADT_24Hour_Volume,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date_Collected,X,Y,LAT,LONG,FID
TRIM RD @ VALIN ST,14771,0.0443,75,1,1547528400000,386438.014,5037556.5611,45.4731625866,-75.4558660803,397
TRIM RD @ WATTERS RD,26420,0.028,118,4,1547528400000,384964.6521,5038717.5759,45.4837789515,-75.4745175386,398
ULLSWATER DR @ CARLING AVE,16135,0.0253,19,7,1556683200000,356488.6521,5023810.5086,45.3523351032,-75.8403210124,399
UPPER DWYER HILL RD @ COUNTY RD 29 W,2663,0.0603,0,2,1554264000000,317873.396,5030522.6166,45.4145177024,-76.3329671582,400
UPPER DWYER HILL RD @ MCARTON RD,3031,0.0811,2,14,1556164800000,340117.4875,5007541.4379,45.2069534165,-76.0504085099,401
UPPER DWYER HILL RD @ VAUGHAN SIDE RD,1068,0.0767,1,0,1554782400000,331999.4342,5016530.5258,45.2882032955,-76.1532573289,402
VAAN DR @ WOODROFFE AVE,26929,0.0204,13,128,1570680000000,363976.6906,5020575.4863,45.3226347602,-75.745149234,403
VANIER PKWY/CRICHTON ST @ BEECHWOOD AVE/ST. PA,43855,0.0278,923,115,1553140800000,369127.797,5033487.134,45.4383567424,-75.6777665734,404
VICTORIA ST @ YORKS CORNERS RD,4416,0.0516,1,1,1574226000000,388823.8279,5013265.4105,45.2543303859,-75.4294875753,405
VIEWMOUNT DR @ MERIVALE RD,39225,0.0361,1049,36,1569902400000,365193.6971,5022948.4954,45.3438831733,-75.7293370841,406
WALDEN DR @ KANATA AVE,7383,0.0519,116,5,1554868800000,350014.6581,5020576.689,45.3236837469,-75.9232366685,407
WALKLEY RD @ 158 E OF HEATHERINGTON RD,16509,0.0431,257,3,1549515600000,371899.2843,5026869.8133,45.3785564446,-75.6432461676,408
WALKLEY RD @ 160 W OF CONROY RD,40397,0.0383,58,2,1546923600000,372768.637,5027383.465,45.3830942748,-75.6320764404,409
WALKLEY RD @ WEXFORD WAY,18987,0.0222,38,10,1574744400000,369343.7151,5025362.5284,45.3652344263,-75.6760703214,410
WEST HUNT CLUB RD @ WOODROFFE AVE,58117,0.0438,72,30,1571716800000,363670.691,5021246.489,45.3286981288,-75.7489724102,411
WOODRIDGE CRES @ TRANSITWAY LINK,5015,0.1173,263,2,1572930000000,358889.8079,5023215.2249,45.3467976332,-75.8097434396,412
WOODROFFE AVE @ ALGONQUIN COLLEGE/TRANSITWAY S,41023,0.0293,1251,3,1548133200000,362823.6879,5023270.506,45.346980647,-75.7595395808,413
145 N OF VIMY PLACE PRIV @ BOOTH ST,22251,0.0478,166,47,1551934800000,366233.5781,5031084.814,45.4170016743,-75.7150563643,414
MITCH OWENS RD/BRIDGE ST @ RIVER RD,24779,0.0608,13,0,1576040400000,369499.7073,5010770.3997,45.2339227284,-75.6759833491,415
160 E OF CARSON RD @ DEN HAAG DR,3953,0.052,832,6,1548824400000,373181.1949,5033842.5561,45.4411699671,-75.62591283,416
MONTFORT ST @ PARK ST,1795,0.0484,177,78,1563336000000,370380.7103,5033553.5892,45.4388382809,-75.6617447766,417
MONTREAL RD @ 46 E OF HILLSIDE DR/MONTREAL SQU,32390,0.0261,1356,7,1547010000000,371749.96,5033916.69,45.4419755152,-75.6441955248,418
250 N OF BRIAN COBURN BLVD @ TENTH LINE RD,21155,0.0218,43,1,1547528400000,384329.7656,5035258.5689,45.4527306582,-75.4831975911,419
MONTREAL RD @ 46 E OF HILLSIDE DR/MONTREAL SQU,28652,0.0269,1341,97,1562817600000,371749.96,5033916.69,45.4419755152,-75.6441955248,420
4TH LINE RD @ DALMENY RD,2190,0.1047,0,0,1574139600000,380956.7462,5001210.3367,45.1467588699,-75.5315456589,421
8TH LINE RD @ COOPER HILL RD,2730,0.0576,1,0,1574226000000,383963.7946,5014997.4477,45.2704777925,-75.4911212955,422
MONTREAL RD @ BATHGATE DR/BURMA RD,27932,0.0295,350,6,1548824400000,373224.7224,5034516.5922,45.4472303299,-75.6252627749,423
8TH LINE RD @ GLENWOOD DR,1700,0.0617,1,0,1574312400000,385888.111,5010030.9483,45.225573122,-75.4674114182,424
MONTREAL RD @ CARSON'S RD/CODD'S RD,29240,0.0322,745,6,1548824400000,372770.7184,5034398.5808,45.4462128214,-75.631082362,425
8TH LINE RD @ MARIONVILLE RD,1395,0.0601,0,0,1574658000000,389212.7774,5001817.3153,45.1512816547,-75.4264721237,426
MONTREAL RD @ DEN HAAG DR/LANG'S RD,32055,0.0299,528,8,1548824400000,372386.718,5034221.5837,45.4446575259,-75.636015059,427
8TH LINE RD @ MITCH OWENS RD,8016,0.1002,0,0,1574658000000,382362.7959,5018774.4724,45.3046396988,-75.5109311785,428
MONTREAL RD @ MONTFORT HOSPITAL,35383,0.0322,367,11,1548824400000,372222.4249,5034144.2441,45.4439775283,-75.6381256334,429
8TH LINE RD @ VICTORIA ST,7881,0.0559,26,3,1574312400000,385452.7977,5011165.4178,45.2358303919,-75.4727699985,430
MONTREAL RD @ VANIER PKWY,51276,0.0227,1567,55,1553572800000,370072.7098,5033065.5921,45.4344763103,-75.6657459366,431
9TH LINE RD @ COOPER HILL RD,615,0.1173,1,2,1574226000000,385680.8142,5016048.4492,45.2797386304,-75.4690715634,432
MONTREAL RD/ST. JOSEPH BLVD @ OR174 IC109 RAMP,26766,0.0298,184,8,1556078400000,376474.0322,5035015.4504,45.4513930988,-75.5836563518,433
9TH LINE RD @ MARVELVILLE RD,1864,0.1016,0,0,1574053200000,389436.8018,5006525.3698,45.1936149098,-75.422825263,434
MOODIE DR @ TRAIL RD,5188,0.2764,0,0,1571198400000,361131.6639,5010790.3816,45.2348217016,-75.7825476296,435
ACRES RD @ BELMEADE RD,612,0.128,0,0,1574658000000,384615.7583,4999409.3028,45.1301498872,-75.4853101252,436
MOUNTSHANNON DR @ WOODFORD WAY,4224,0.044,229,3,1574744400000,364843.6962,5017047.4557,45.2908161432,-75.7345182044,437
ADELAIDE ST @ FIFTH AVE,2340,0.0364,254,175,1555473600000,368641.7089,5029545.5623,45.4029364251,-75.6844898313,438
MUNSTER RD @ COLDSTREAM DR/DOGWOOD DR S,1390,0.1191,19,8,1556596800000,349152.5395,5002550.3561,45.161530521,-75.9358411415,439
ADMIRAL AVE @ SHILLINGTON AVE,3218,0.0575,283,23,1573621200000,365273.6976,5027075.5438,45.3810107803,-75.7278112912,440
MUNSTER RD @ FALLOWFIELD RD,3322,0.0459,1,1,1556164800000,347098.5348,5004980.3807,45.1835232986,-75.9617607107,441
AGES DR @ LEGACY RD,3205,0.2137,18,2,1570680000000,374601.7381,5027551.5398,45.3844262767,-75.6086477532,442
MURPHY SIDE RD @ SECOND LINE RD,1654,0.0535,0,0,1554782400000,343968.5864,5027532.5479,45.3866382071,-75.9998067575,443
AGES DR @ SWANSEA CRES,1406,0.2401,8,4,1570680000000,374134.8585,5027120.0681,45.3805904584,-75.6146695799,444
NAVAN RD @ SPRING VALLEY DR,7783,0.0915,22,0,1575435600000,382064.79,5032681.95,45.4298024224,-75.5125558309,445
AIRPORT PKWY @ HUNT CLUB RD,48699,0.0435,52,2,1551848400000,371018.528,5023702.9982,45.3501462879,-75.6549151987,446
NAVAN RD W @ MER BLEUE RD,8449,0.0905,5,0,1551157200000,384006.7766,5032255.5439,45.425748752,-75.4878096634,447
AIRPORT PKWY @ HUNT CLUB RD,51248,0.0444,131,13,1574744400000,371018.528,5023702.9982,45.3501462879,-75.6549151987,448
NELSON ST @ SOMERSET ST,2107,0.0605,1815,133,1575522000000,369094.7066,5031761.5762,45.4228338762,-75.678414791,449
AKENHEAD CRES/BRUNSKILL WAY @ KEYROCK DR,1814,0.0542,95,39,1565668800000,349199.8841,5020221.469,45.3205393884,-75.9336613511,450
NIXON DR/ROGER STEVENS DR @ RIVER RD,10579,0.066,0,0,1573707600000,373169.7061,5002763.3466,45.1615295004,-75.6303456679,451
ALBERT ST @ BANK ST,19513,0.0656,19893,167,1575349200000,367385.6961,5031423.5736,45.4199476217,-75.700294026,452
NORMAN ST @ PRESTON ST,14663,0.0375,1126,91,1574744400000,366716.708,5029193.5583,45.3999420972,-75.7091214777,453
ALBERT ST @ BANK ST,12870,0.0741,19021,189,1574658000000,367385.6961,5031423.5736,45.4199476217,-75.700294026,454
NORTH BOWESVILLE RD @ UPLANDS DR,6506,0.0417,128,22,1574744400000,368300.7152,5022788.4899,45.3421690972,-75.6897139357,455
ALBERT ST @ BOOTH ST,32578,0.0489,1839,253,1575522000000,366428.6932,5030626.5666,45.4128613347,-75.7126208978,456
NOTRE DAME ST @ ORLEANS BLVD,13106,0.0143,106,76,1565841600000,380689.7398,5036866.5791,45.4676030235,-75.5294808992,457
ALBERT ST @ ELGIN ST/MACKENZIE KING BRIDGE,27152,0.0509,4582,127,1575349200000,367850.7116,5031711.5814,45.4224972673,-75.6943158922,458
O'CONNOR ST @ QUEEN ST,15339,0.0948,25500,114,1575349200000,367497.7001,5031585.5792,45.4213952677,-75.698842388,459
ALBERT ST @ KENT ST (OTTAWA),27126,0.0395,15625,96,1575349200000,367221.6948,5031319.5735,45.4190265129,-75.702402569,460
O'CONNOR ST @ SLATER ST,22966,0.05,16538,85,1575349200000,367579.7049,5031450.5762,45.4201732002,-75.6978118284,461
ALBERT ST @ LYON ST,26551,0.0384,12023,134,1575349200000,367062.7002,5031219.5839,45.4181410043,-75.7044465709,462
O'CONNOR ST @ STRATHCONA AVE,3987,0.037,534,64,1551762000000,368377.7132,5030170.5626,45.408584003,-75.6877811654,463
ALBERT ST @ LYON ST,19019,0.0433,12286,179,1574658000000,367062.7002,5031219.5839,45.4181410043,-75.7044465709,464
OGILVIE RD @ 185 E OF BATHGATE DR/185 E OF CIT,26444,0.0205,1006,12,1547614800000,373989.31,5032895.04,45.4325652176,-75.6157174521,465
ALBERT ST @ METCALFE ST,21224,0.0415,18325,93,1575349200000,367691.7005,5031613.5819,45.4216298134,-75.6963601013,466
ALBERT ST @ O'CONNOR ST,21728,0.0491,18894,105,1575349200000,367538.7025,5031520.573,45.420806687,-75.6983267849,467
OGILVIE RD @ BATHGATE DR/CITYPARK DR W,33455,0.0237,968,30,1547010000000,373828.7221,5032800.5765,45.4317311545,-75.6177828636,468
ALBION RD @ 118 S OF BRENDA CR,3953,0.0322,93,2,1576040400000,371645.8051,5024871.801,45.3606032758,-75.6467527014,469
OGILVIE RD @ CITY PARK DR E/CSIS HQ ACCESS,28111,0.0316,2017,19,1547010000000,374188.7282,5033010.5768,45.433584997,-75.6131527872,470
ALBION RD @ BANK ST,31209,0.0319,185,35,1561003200000,371946.7279,5024129.4994,45.3538955467,-75.6430128609,471
OLD COLONY RD @ ROTHESAY DR,1983,0.0504,106,3,1554868800000,353905.6168,5016797.4515,45.2894159903,-75.8739804499,472
ALBION RD @ BRIDLE PATH DR,13033,0.0277,73,18,1561003200000,372106.7288,5023740.5018,45.3503801408,-75.6410239667,473
OLD MONTREAL RD @ 125M E OF KINSELLA DR,1439,0.0418,1,0,1574139600000,392542.7951,5042691.5649,45.5186204073,-75.3768836153,474
ALBION RD @ CAHILL DR,7107,0.0367,313,58,1570680000000,371725.731,5024668.5181,45.3587665809,-75.6457601339,475
OLD MONTREAL RD @ 125M E OF KINSELLA DR,1777,0.0304,1,2,1556164800000,392542.7951,5042691.5649,45.5186204073,-75.3768836153,476
ALBION RD @ D'AOUST AVE,10952,0.0308,112,57,1561003200000,372217.7347,5023470.5158,45.347940237,-75.6396442633,477
"OLD MONTREAL RD @ GRAND-CHENE, COUR DU CRT",7023,0.0252,4,4,1566964800000,385399.761,5039802.5825,45.4934906479,-75.4687743103,478
ALBION RD @ HEATHERINGTON RD,5313,0.0669,302,28,1555473600000,371119.7267,5026146.5341,45.3721228576,-75.6532959392,479
OLD MONTREAL RD @ QUIGLEY HILL RD,3011,0.0359,7,9,1556164800000,388772.7708,5041554.5817,45.5088554006,-75.4253262877,480
ALBION RD @ LESTER RD,25168,0.0462,32,20,1561003200000,372694.7432,5022332.4959,45.337654715,-75.6337137724,481
OLD MONTREAL RD E @ REGIONAL RD 174,19076,0.0389,0,1,1556164800000,394616.8121,5043035.5547,45.5214510637,-75.3502782785,482
ALBION RD @ MITCH OWENS RD,18740,0.1143,3,0,1571198400000,375906.7541,5014804.4491,45.269602061,-75.5938157851,483
OLD PRESCOTT RD @ STAGECOACH RD,6486,0.0847,1,0,1575954000000,377778.7513,5009054.404,45.2176733801,-75.5708060216,484
ALDEA AVE @ CLEMENTINE BLVD,2229,0.0691,115,59,1565668800000,369487.7225,5027038.5402,45.3803014028,-75.6740126903,485
OLD PRESCOTT RD @ STAGECOACH RD,4978,0.0969,0,0,1574658000000,377778.7513,5009054.404,45.2176733801,-75.5708060216,486
ALDERCREST DR/MALCOLM PL @ FIELDROW ST,2060,0.0231,84,2,1571716800000,364289.7061,5022950.4956,45.3439784187,-75.7408713322,487
OLD SHIP RD @ FITZROY ST,371,0.0487,15,0,1554264000000,327334.5891,5037065.6883,45.4731542163,-76.2117873619,488
ALGOMA RD @ COMSTOCK RD,3578,0.1845,23,12,1569902400000,373661.7266,5031107.5631,45.4165147432,-75.6201535586,489
OR174 IC109 RAMP56 @ MONTREAL RD,32855,0.0278,13,8,1556078400000,376179.4848,5034879.2072,45.4501974143,-75.5874413922,490
ALLBIRCH RD @ CONSTANCE BAY RD,3595,0.0497,8,0,1573621200000,337866.0759,5038297.0271,45.4838148165,-76.0770120805,491
OR174 IC109 RAMP65 @ MONTREAL RD,23992,0.0369,185,13,1556078400000,376402.7255,5034982.5972,45.4511048161,-75.5845726643,492
ALLEN BLVD @ MCARTHUR AVE,13555,0.0293,469,42,1552968000000,370750.7051,5032749.5716,45.4315692797,-75.6571237105,493
OR174 IC109 RAMP66 @ MONTREAL RD,28813,0.0233,304,11,1556078400000,376297.7327,5034935.5827,45.4506925585,-75.5859216389,494
ALTA VISTA DR @ CALEDON ST,14572,0.0278,218,57,1569902400000,370789.7197,5030420.5568,45.4106100934,-75.6569370974,495
ORLEANS BLVD @ MAPLE RUN AVE/BEAUSEJOUR DR S,13488,0.0468,78,0,1546923600000,380572.7539,5035315.5693,45.4536609655,-75.5312158012,496
ALTA VISTA DR @ CLUNY ST,15501,0.0267,59,42,1569902400000,370541.7257,5029824.5592,45.4052708777,-75.6601845187,497
OSGOODE MAIN ST @ NIXON DR,4042,0.049,5,0,1573707600000,374401.7081,5000468.315,45.1407586132,-75.6149962833,498
ALTA VISTA DR @ HOSPITAL LINK RD,21425,0.0342,222,9,1546923600000,370468.3602,5029650.8715,45.4037149884,-75.6611447535,499
OSGOODE MAIN ST @ STAGECOACH RD,4714,0.0664,0,0,1574139600000,378036.734,5002955.3552,45.162769,-75.5684174431,500
ALTA VISTA DR @ ROGER RD,15204,0.0234,70,63,1569902400000,370405.7192,5028878.5479,45.3967717808,-75.6620475836,501
O'TOOLE RD @ WILHAVEN DR,1596,0.0287,13,33,1556164800000,388207.7692,5040477.5677,45.4992334451,-75.4327389724,502
AMIENS ST @ TENTH LINE RD,31497,0.0213,192,8,1547528400000,383352.7279,5037568.2249,45.4736213895,-75.4953181832,503
PAMILLA ST @ ROCHESTER ST,5144,0.0248,1165,32,1574226000000,366920.7054,5029197.5587,45.3999600207,-75.7065155119,504
ANALDEA DR/ WHITE ALDER AVE @ BANK ST,22163,0.0521,96,0,1575435600000,375697.7499,5020813.4893,45.3236903124,-75.5956199019,505
PAMILLA ST @ ROCHESTER ST,5254,0.0139,999,23,1575435600000,366920.7054,5029197.5587,45.3999600207,-75.7065155119,506
ANDERSON RD @ EIGHTH LINE RD E,4934,0.0435,2,0,1574830800000,381298.28,5022969.89,45.3425043153,-75.5238556284,507
PANA RD @ YORKS CORNERS RD,905,0.0797,0,0,1574226000000,388102.8341,5015169.4344,45.2715471135,-75.4383525918,508
ANDERSON RD @ LEITRIM RD,8275,0.053,0,0,1551157200000,380473.7741,5024908.5046,45.3600362125,-75.5340784198,509
PARKDALE AVE @ GLADSTONE AVE,18362,0.0437,569,23,1575522000000,365216.7017,5029118.5611,45.3993983416,-75.7282888728,510
ANDERSON RD @ NINTH LINE RD,3620,0.0483,1,0,1576645200000,382008.7863,5021090.476,45.3255167017,-75.5150838491,511
PARKDALE AVE @ SHERWOOD DR,17001,0.0276,388,8,1551243600000,365380.703,5028745.545,45.396027855,-75.7262400642,512
PARKGLEN DR @ WOODROFFE AVE,31511,0.0276,128,29,1571716800000,362888.6879,5023126.5126,45.3456796251,-75.7587270742,513
PARKWAY RD @ SALE BARN RD,2390,0.0442,0,1,1574658000000,379604.7642,5014728.4418,45.2685345691,-75.5467061955,514
PARKWAY RD @ STAGECOACH RD,8130,0.0641,1,1,1551848400000,376230.7481,5012622.4185,45.2499360198,-75.5900010265,515
PARKWAY RD @ YORKS CORNERS RD,1218,0.1009,1,0,1574226000000,386613.8146,5018952.4596,45.3057588404,-75.4567022598,516
PERTH ST @ SHEA RD,15191,0.0325,7,21,1562212800000,357526.6124,5006972.343,45.2007451738,-75.8288633675,517
PHELAN RD @ RIDEAU VALLEY DR,2365,0.0374,0,0,1573707600000,372521.71,5005470.368,45.1859495572,-75.6382198523,518
PICKFORD DR @ SHATNER GT,2226,0.0559,127,2,1554868800000,353405.6202,5018725.4577,45.3067993864,-75.8801652536,519
PINECREST RD @ BASELINE RD,31347,0.0205,90,51,1567051200000,360782.6858,5022694.5009,45.3419636406,-75.785648635,520
PINECREST RD @ RICHMOND RD,36493,0.0223,214,7,1574917200000,360072.6705,5024471.5124,45.3580094731,-75.7945092694,521
PINECREST RD @ ST. STEPHEN'S ST,23610,0.0196,43,20,1567051200000,360225.6768,5024077.5044,45.3544521199,-75.792600649,522
PINECREST RD/HWY 417 PINECRE IC129R63 @ TRANSI,40855,0.0536,622,3,1548133200000,360388.0862,5023677.8358,45.3508430547,-75.7905729065,523
PLACE D'ORLEANS @ CENTRUM BLVD/PLACE D'ORLEANS,10857,0.0305,223,1,1548910800000,381964.7403,5038137.5918,45.4788988108,-75.5129783007,524
PLACE D'ORLEANS DR @ OR174 IC102 RAMP51/TRANSI,13921,0.0706,62,0,1548910800000,381391.7378,5038030.5915,45.4779992054,-75.5203232333,525
PLACE D'ORLEANS DR @ PLACE D'ORLEANS SC N,14410,0.0219,363,2,1548910800000,381414.0212,5037940.0516,45.4771821594,-75.520052372,526
PLACE D'ORLEANS DR @ PLACE D'ORLEANS SC S,13186,0.0206,108,0,1548910800000,381501.1118,5037817.2315,45.4760675671,-75.5189577625,527
PLACE D'ORLEANS DR W @ ST. JOSEPH BLVD,26259,0.0157,189,3,1548910800000,381601.903,5037684.1299,45.4748589536,-75.5176895958,528
PLACE D'ORLEANS DR W @ ST. JOSEPH BLVD,23091,0.0196,303,38,1567051200000,381601.903,5037684.1299,45.4748589536,-75.5176895958,529
PLEASANT PARK RD @ ST. LAURENT BLVD,20246,0.0286,290,21,1553140800000,373597.7279,5028795.5499,45.3957186461,-75.6212937736,530
PORTOBELLO BLVD @ CAPREOL ST/MARTELLO DR,4002,0.0303,151,59,1561521600000,385688.7738,5035639.8806,45.4560053552,-75.4657625368,531
PORTOBELLO BLVD @ SUMMER SKY ST,952,0.1377,56,2,1553745600000,385991.3189,5034920.7989,45.449500667,-75.4620135553,532
PORTOBELLO BLVD @ VALIN ST,13119,0.0295,255,124,1559188800000,385350.766,5037697.5693,45.4745574952,-75.4697463692,533
PORTOBELLO BLVD @ VALIN ST,12655,0.0302,184,0,1551157200000,385350.766,5037697.5693,45.4745574952,-75.4697463692,534
PORTOBELLO BLVD/SPRINGRIDGE DR S @ TRIM RD,19184,0.0336,79,3,1547528400000,385690.0811,5038071.5011,45.4778825383,-75.4653456289,535
PRESLAND RD @ LOLA ST,8125,0.0321,399,134,1571716800000,371174.7182,5031862.576,45.4235483672,-75.65182479,536
PRESLAND RD @ VANIER PKWY,45543,0.0188,288,243,1572321600000,370433.1219,5031751.637,45.4226201559,-75.6613150976,537
PRINCE CHARLES RD @ SAVILLE ROW,2926,0.0504,185,117,1571889600000,362066.6851,5026492.5275,45.3760343565,-75.7688258079,538
PRINCE OF WALES DR @ HARTWELL LOCKS/548 N OF R,22122,0.0203,37,29,1547701200000,367016.6,5027301.97,45.3828954909,-75.7055297543,539
PRINCE OF WALES DR @ MELFA CRES N,18321,0.0323,110,206,1569470400000,367409.3921,5025381.3671,45.3655793771,-75.7007579886,540
PRINCE OF WALES DR @ THIRD LINE RD,4015,0.0396,0,0,1571284800000,366929.6631,5001817.3053,45.1535936935,-75.7098279702,541
QUEEN ELIZABETH DRWY @ LAKEVIEW TER,14492,0.003,113,20,1575522000000,367687.7083,5028562.5574,45.3941779852,-75.6968002935,542
QUEEN ELIZABETH DRWY @ QUEEN ELIZABETH PL,16922,0.0025,141,38,1575522000000,368584.7048,5028843.5445,45.3966250883,-75.6853087111,543
QUEEN ELIZABETH DRWY @ THIRD AVE,13863,0.0032,159,16,1574744400000,368813.32,5029825.8729,45.4054428955,-75.6822615168,544
QUEEN ELIZABETH DRWY @ WAVERLEY ST,8463,0.0041,112,14,1574312400000,368874.7157,5031264.5782,45.4183822513,-75.6812902754,545
QUEEN ST @ LYON ST,24117,0.0388,8492,178,1575349200000,367018.7037,5031287.5805,45.4187567309,-75.7050000899,546
RAMSAYVILLE RD @ LOUISEIZE RD,7771,0.0264,0,0,1574830800000,379564.7681,5021850.4894,45.3326194664,-75.5461418486,547
RAMSAYVILLE RD @ RUSSELL RD S,8292,0.0364,1,0,1574830800000,377831.755,5026129.5225,45.3713024624,-75.5676168616,548
RENAUD RD @ NAVAN RD,14867,0.0638,64,12,1572321600000,381816.7611,5032736.549,45.4303210181,-75.5157166303,549
REVELSTOKE DR @ RIVERSIDE DR,28929,0.0227,50,0,1549515600000,368217.7123,5024423.5178,45.3568882171,-75.6905632924,550
RICHARDSON SIDE RD @ SPRUCE RIDGE RD,1605,0.0684,0,2,1554782400000,343201.5257,5014397.4498,45.2684860993,-76.0106207994,551
RICHARDSON SIDE RD @ WILLIAM MOONEY RD,3101,0.0497,0,3,1554782400000,345205.5538,5016241.4578,45.2849669858,-75.9849328939,552
EDGECOMBE ST @ HASTINGS AVE,559,0.0261,125,6,1553745600000,372311.7242,5029381.5464,45.4011163658,-75.6376369241,553
EDGEWORTH AVE @ GEORGINA DR,3381,0.0223,324,60,1571716800000,361314.6776,5025196.5224,45.3644340567,-75.7785748502,554
ANDERSON RD @ RUSSELL RD,9979,0.0384,0,1,1574830800000,379787.7697,5026706.5182,45.3762873444,-75.5425606332,555
EIGHTH LINE RD E @ HALL RD E,999,0.0574,0,0,1574830800000,385110.8059,5025152.4982,45.3617156354,-75.4748596281,556
ANTARES DR N @ AURIGA DR N,7469,0.0492,42,14,1570680000000,366970.7067,5021994.5033,45.3351440752,-75.7067833087,557
ANTOCHI LANE @ MANOTICK MAIN ST,7072,0.0737,15,1,1569902400000,369646.3459,5009135.3918,45.2191975502,-75.6743289708,558
ANWATIN ST @ ARNOLD DR,1154,0.0469,38,0,1556683200000,357739.6499,5019568.4691,45.314071598,-75.8248099265,559
APOLYDOR AVE @ CLEMENTINE BLVD,2132,0.0769,117,70,1565668800000,369488.7206,5027195.5454,45.3817139942,-75.6739793753,560
AQUAVIEW DR @ BRIAN COBURN BLVD,12717,0.0316,135,2,1551157200000,384776.3381,5035179.1019,45.451964724,-75.4775019145,561
ARCH ST @ PLEASANT PARK RD,5499,0.0322,244,143,1570507200000,372816.7276,5028632.5541,45.3943283805,-75.6312902674,562
ARGYLE AVE @ QUEEN ELIZABETH DRWY,15177,0.0116,179,12,1548824400000,368693.7146,5030753.5689,45.4138009196,-75.6836690212,563
ARGYLE AVE E @ METCALFE ST,12890,0.0144,555,20,1574744400000,368442.71,5030641.5681,45.4128160473,-75.6868900905,564
ARKOSE ST @ BOUNDSTONE WAY,986,0.0748,59,11,1560398400000,348624.797,5019935.5751,45.3180029677,-75.941021765,565
ARLINGTON AVE @ BOOTH ST,12311,0.0138,252,67,1574226000000,366832.7041,5029703.5675,45.404520753,-75.7075758186,566
ARMSTRONG ST @ MERTON ST,2063,0.0151,531,297,1565668800000,365452.889,5029674.7041,45.4043819648,-75.7252038973,567
ARMSTRONG ST @ PARKDALE AVE,11670,0.0451,926,46,1574226000000,365090.6921,5029404.5587,45.4019825472,-75.7298633032,568
ASHLEY ST @ MORRISON DR,4710,0.0428,125,89,1567051200000,360215.6634,5023136.5035,45.3459857989,-75.7928338925,569
ASHLEY ST @ MORRISON DR,4916,0.0393,79,10,1556683200000,360215.6634,5023136.5035,45.3459857989,-75.7928338925,570
ASHTON STATION RD @ HIGHWAY 7,3527,0.0428,0,6,1556164800000,339963.4749,5003788.4456,45.1731892511,-76.0526336743,571
ATHLONE AVE @ RICHMOND RD,11604,0.029,1890,396,1563422400000,363453.6895,5028441.5557,45.3934566829,-75.750886609,572
AUTUMN RIDGE DR E @ BEAUSEJOUR DR E,2505,0.032,85,37,1560312000000,380588.7474,5035850.581,45.4584728467,-75.530928895,573
AUTUMN RIDGE DR W @ BEAUSEJOUR DR W,2051,0.0343,77,39,1560312000000,380429.7363,5035762.5825,45.4576983351,-75.5329753298,574
AVEIA PRIV/DAIRY DR @ OLD MONTREAL RD,8470,0.0507,18,1,1575435600000,385062.7389,5039589.7959,45.4916150505,-75.4731204032,575
AVENUE S @ TREMBLAY RD,2638,0.1186,93,23,1569902400000,371984.7196,5031368.5683,45.4190261845,-75.6415426449,576
AVIATION PKWY @ OGILVIE RD,49207,0.0186,303,560,1560312000000,373110.7142,5032376.5856,45.4279867993,-75.6270170549,577
AYLMER AVE @ BANK ST,22661,0.0301,1043,51,1551934800000,368673.7124,5028729.5435,45.3955912292,-75.6841867364,578
AYLWIN RD @ FERRY RD,181,0.0909,0,0,1554350400000,328717.6012,5039117.6964,45.4915728722,-76.1939992329,579
BADHAMS SIDE RD @ FERRY RD,59,0,0,0,1554350400000,327644.6104,5040262.727,45.5019121765,-76.2076735403,580
"BAIE-DES-CASTORS, DE LA RUE @ FAMILLE-LAPORTE, DE LA AVE",1353,0.0412,52,14,1564027200000,385257.1658,5040395.8207,45.4988444585,-75.470501172,581
BAIRD'S GRANT LANE @ DUNROBIN RD,1324,0.0545,1,0,1554350400000,334214.9479,5039817.774,45.4976622864,-76.1236258381,582
BANK ST @ CAMERON AVE,18300,0.0291,997,29,1551934800000,368943.714,5028262.5479,45.3913646694,-75.6807992657,583
BANK ST @ CONROY RD,23450,0.044,6,4,1555387200000,375044.7501,5022238.4989,45.3365776291,-75.6037464073,584
BANK ST @ CONROY RD,23121,0.0435,1,0,1574830800000,375044.7501,5022238.4989,45.3365776291,-75.6037464073,585
BANK ST @ FLORA ST,15264,0.0416,2350,180,1555387200000,367976.7047,5030416.5664,45.4108337796,-75.6928720944,586
BANK ST @ HUNT CLUB RD,51721,0.0433,675,22,1555387200000,371608.7365,5024096.5062,45.353630968,-75.6473305891,587
BANK ST @ HUNT CLUB RD,51629,0.0469,755,66,1560312000000,371608.7365,5024096.5062,45.353630968,-75.6473305891,588
BANK ST @ JOHNSTON RD,34717,0.0277,820,26,1555387200000,370851.7305,5024839.5279,45.3603881572,-75.6568917989,589
BANK ST @ KINGSDALE AVE,16343,0.0441,120,8,1555387200000,373268.7437,5023500.5187,45.3481083792,-75.6262291467,590
BANK ST @ LEITRIM RD,35693,0.05,11,0,1575435600000,375357.7542,5021619.4971,45.3309767018,-75.5998415231,591
BANK ST @ MACLAREN ST,11038,0.0537,7717,262,1555387200000,367741.7101,5030845.5678,45.4147149733,-75.6958192379,592
BANK ST @ MITCH OWENS RD,21282,0.1108,2,0,1560398400000,377758.7657,5015947.4595,45.2796967286,-75.5700488684,593
