Intersection,All_Motorized_Vehicles_AADT_24_,Truck_Percent,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date,X,Y,Lat,Long,FID
BRIAN GOOD AVE @ EARL ARMSTRONG RD,23908,0.0268,41,4,2023-Mar-08,368110.04,5014834.15,45.270614,-75.693163,403
REGIONAL RD 174 @ TRIM RD,24618,0.0597,19,2,2023-Feb-07,384351.8533,5039990.3407,45.4953,-75.482149,404
CONROY RD @ ST. LAURENT BLVD,24623,0.0362,114,15,2023-Dec-06,373069.9675,5027159.3019,45.381048,-75.62826,405
ALBION RD @ LESTER RD,24970,0.0305,40,34,2023-Jun-29,372694.7432,5022332.4959,45.337655,-75.633714,406
BAY ST @ WELLINGTON ST,24979,0.0653,465,30,2023-Mar-02,366814.698,5031351.5666,45.419351,-75.707598,407
FALLOWFIELD RD @ VIA PARK PL/275 W OF WOODROFFE AVE,24982,0.0327,265,173,2023-Jul-11,364847.2373,5017766.0209,45.297281,-75.734386,408
FALLOWFIELD RD @ WOLFGANG DR,24987,0.0325,18,1,2023-Jan-17,363406.6905,5016943.4556,45.290002,-75.752849,409
DALY AVE @ WALLER ST,25055,0.1373,857,16,2023-Dec-19,368341.18,5032120.449,45.426132,-75.687996,410
PRESTON ST @ SOMERSET ST,25180,0.0646,1361,42,2023-Dec-19,366307.6986,5030127.5685,45.408382,-75.714229,411
FALLOWFIELD RD @ HOLITMAN DR,25668,0.0329,17,1,2023-Jan-17,363742.6858,5017134.4441,45.291692,-75.748543,412
INNES RD @ STAR TOP RD/WINDMILL LANE,26036,0.0406,26,35,2023-May-27,374147.7258,5030666.5605,45.412499,-75.614007,413
EAGLESON RD @ COPE DR/CADENCE GT,26170,0.02,254,42,2023-Jun-20,354620.6223,5016027.4272,45.282437,-75.864943,414
INNES RD @ LAMARCHE AVE,26652,0.0243,42,70,2023-Aug-15,381083.9396,5034655.3163,45.447665,-75.524783,415
LYON ST @ WELLINGTON ST,26694,0.0571,1298,405,2023-Oct-12,366935.271,5031426.166,45.420011,-75.706049,416
ISLAND PARK DR @ RICHMOND RD,26871,0.0198,1046,42,2023-Dec-20,364130.6867,5028867.5568,45.397233,-75.74219,417
MACKENZIE AVE @ RIDEAU ST,26951,0.0455,2286,48,2023-Mar-02,367869.6992,5032009.5802,45.425177,-75.694035,418
INNES RD @ LANTHIER DR/PRESTWICK DR,28152,0.0242,141,0,2023-Feb-23,383540.7631,5035988.5643,45.459388,-75.493167,419
WOODROFFE AVE @ GEORGINA DR/LENESTER AVE,28273,0.026,402,12,2023-Dec-06,361909.6866,5025370.5192,45.365951,-75.77096,420
CARP RD @ WESTBROOK RD,28277,0.0455,12,1,2023-Dec-20,347737.5651,5015442.4407,45.277627,-75.952727,421
MOODIE DR @ WEST HUNT CLUB RD,28352,0.0501,2,38,2023-Sep-21,357907.6517,5018498.4557,45.304431,-75.822782,422
COBOURG ST @ ST. PATRICK ST,28583,0.0266,258,247,2023-Jul-13,368802.4619,5033234.2611,45.436111,-75.681957,423
BOOTH ST @ SIR JOHN A. MACDONALD PKWY/WELLINGTON ST,28911,0.0244,478,29,2023-Mar-02,366264.257,5031006.6879,45.416296,-75.714674,424
BILLY BISHOP PRIV @ HUNT CLUB RD,28918,0.0491,43,47,2023-Jun-29,368977.1871,5022500.129,45.339513,-75.68112,425
BRIAN COBURN BLVD @ TENTH LINE RD,29166,0.0251,210,28,2023-May-24,384428.34,5035022.31,45.450594,-75.481976,426
ALBION RD @ BANK ST,29280,0.0262,194,53,2023-Jun-29,371946.7279,5024129.4994,45.353896,-75.643013,427
COLONEL BY DR @ HOG'S BACK RD,29296,0.0113,32,6,2023-Dec-06,367602.7094,5025873.5378,45.369991,-75.698228,428
INNES RD @ LANTHIER DR/PRESTWICK DR,29448,0.0161,128,2,2023-Mar-04,383540.7631,5035988.5643,45.459388,-75.493167,429
BANK ST @ SOUTHKEYS SC,29535,0.0282,100,4,2023-Dec-06,371083.7295,5024521.5156,45.357505,-75.653973,430
BAY ST @ WELLINGTON ST,29609,0.0557,1237,1204,2023-Sep-20,366814.698,5031351.5666,45.419351,-75.707598,431
BASELINE RD @ ROCKWAY CRES,30194,0.0284,151,1,2023-Feb-08,361184.6759,5022932.5038,45.344073,-75.780492,432
BAY ST @ WELLINGTON ST,30393,0.0558,955,969,2023-Sep-20,366814.698,5031351.5666,45.419351,-75.707598,433
ERINDALE DR @ BASELINE RD,30822,0.0263,59,36,2023-Nov-08,363857.6921,5024575.5225,45.358637,-75.74619,434
KING EDWARD AVE @ RIDEAU ST,31050,0.0412,4631,225,2023-Aug-19,368511.7072,5032413.5892,45.428754,-75.68578,435
ROBERTSON RD @ VANIER RD,31141,0.0195,90,5,2023-Dec-21,357395.6538,5020645.483,45.323789,-75.829083,436
HARDING RD @ WALKLEY RD,31650,0.0465,244,19,2023-Apr-25,373148.7307,5027608.5353,45.385082,-75.627192,437
ST. LAURENT BLVD @ MCARTHUR AVE,31659,0.0383,244,20,2023-Jan-10,371921.719,5032887.5749,45.4327,-75.642141,438
BRONSON AVE @ FIFTH AVE/MADAWASKA DR,32344,0.0249,408,336,2023-Jun-21,367613.7127,5028938.5537,45.397568,-75.697697,439
INNES RD @ 240 E OF TENTH LINE RD/HOME DEPOT E,32440,0.0171,1744,107,2023-Apr-28,384168.11,5036256.42,45.461727,-75.485103,440
CRESTWAY DR @ STRANDHERD DR,32883,0.0167,332,191,2023-Aug-02,366346.9028,5015471.1335,45.276502,-75.715551,441
CARP RD @ HAZELDEAN RD,33584,0.0377,143,0,2023-Dec-20,348804.5759,5014360.4362,45.267825,-75.939223,442
KING EDWARD AVE @ SUSSEX DR,34352,0.0101,354,35,2023-Dec-19,367663.7,5033503.597,45.438638,-75.696477,443
ALBION RD @ HUNT CLUB RD,35088,0.0465,224,41,2023-Sep-14,371867.7337,5024320.5178,45.355622,-75.643995,444
BANK ST @ RIVERSIDE DR N,35529,0.0264,530,36,2023-Mar-08,369225.7159,5027983.546,45.388828,-75.677235,445
INDUSTRIAL AVE @ ALTA VISTA DR/SANDFORD FLEMING AVE,35925,0.043,343,436,2023-Sep-28,370884.7238,5030557.57,45.411834,-75.655705,446
CARLING AVE @ KIRKWOOD AVE N,35928,0.0337,360,21,2023-Nov-08,364275.6922,5027493.5342,45.384857,-75.740503,447
VANIER PKWY/CRICHTON ST @ BEECHWOOD AVE/ST. PATRICK ST,36670,0.0247,735,712,2023-Jul-05,369127.797,5033487.134,45.438357,-75.677767,448
WEST HUNT CLUB RD @ ANTARES DR/LASER ST,37253,0.0419,49,6,2023-Nov-29,367107.7113,5022081.5017,45.335915,-75.705025,449
BASELINE RD/HWY 416 RICHMOND IC75AR53 @ RICHMOND RD,37290,0.0225,17,4,2023-Dec-21,358635.6649,5021821.4866,45.334276,-75.813138,450
BANK ST @ RIVERSIDE DR S,38363,0.0277,889,38,2023-Mar-08,369304.7171,5027894.5529,45.38802,-75.676237,451
CONROY RD @ WALKLEY RD,39718,0.042,169,32,2023-Apr-25,372903.7226,5027463.5313,45.383802,-75.630341,452
PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK RD,39907,0.0215,460,26,2023-Dec-06,367371.9189,5025693.477,45.368391,-75.701197,453
MERIVALE RD/LOTTA AVE @ CLYDE AVE/MERIVALE RD,40169,0.0225,388,43,2023-Oct-17,364521.6983,5024507.5259,45.357969,-75.737723,454
HERZBERG RD @ MARCH RD,40311,0.0188,14,1,2023-Dec-20,352323.6222,5021528.4883,45.332096,-75.893694,455
MARCH RD @ TERON RD,40480,0.0242,80,8,2023-Dec-06,351414.6162,5021779.4825,45.334415,-75.905266,456
MARCH RD @ SOLANDT RD,40592,0.0279,99,80,2023-Sep-28,350489.6085,5022710.5024,45.342854,-75.916981,457
INNES RD @ STAR TOP RD/WINDMILL LANE,41834,0.0816,162,28,2023-May-11,374147.7258,5030666.5605,45.412499,-75.614007,458
INNES RD @ STAR TOP RD/WINDMILL LANE,41871,0.0958,241,77,2023-Sep-28,374147.7258,5030666.5605,45.412499,-75.614007,459
CARLING AVE @ FAIRLAWN AVE/WOODROFFE AVE E,42964,0.0278,581,13,2023-Dec-20,361934.679,5025830.5336,45.370089,-75.770588,460
INDUSTRIAL AVE/INNES RD @ ST. LAURENT BLVD,43310,0.0201,83,48,2023-May-13,373099.7274,5030005.5667,45.406655,-75.627486,461
LAURIER AVE @ NICHOLAS ST,43910,0.0794,1298,676,2023-Jul-05,368373.637,5031798.2699,45.42323,-75.687623,462
SIR JOHN A. MACDONALD PKWY/WELLINGTON ST @ PORTAGE BRIDGE,44257,0.0491,233,22,2023-Mar-02,366516.2078,5031314.6331,45.419045,-75.711417,463
QUEEN MARY ST @ VANIER PKWY,44684,0.0237,221,161,2023-Oct-04,370363.7105,5031957.5851,45.42448,-75.662175,464
AIRPORT PKWY @ HUNT CLUB RD,44928,0.0471,117,53,2023-May-10,371018.528,5023702.9982,45.350146,-75.654915,465
DONALD ST @ VANIER PKWY,44937,0.0253,388,272,2023-Oct-04,370311.7131,5032270.5854,45.427301,-75.662797,466
BANK ST @ HUNT CLUB RD,46158,0.0454,433,56,2023-Jul-25,371608.7365,5024096.5062,45.353631,-75.647331,467
MCARTHUR AVE @ VANIER PKWY,46400,0.0268,1334,329,2023-Oct-04,370218.705,5032690.5859,45.431089,-75.66393,468
BRONSON AVE @ SUNNYSIDE AVE/UNIVERSITY RD/CARLETON U,46509,0.0235,1075,94,2023-Nov-01,367922.7101,5028091.5471,45.389919,-75.693859,469
AVIATION PKWY @ OGILVIE RD,46687,0.0177,281,354,2023-Sep-28,373110.7142,5032376.5856,45.427987,-75.627017,470
INNES RD @ STONEHENGE CRES E,47471,0.0328,117,58,2023-Oct-18,375363.7425,5031313.553,45.418199,-75.59838,471
INNES RD @ STONEHENGE CRES W,48375,0.0344,123,87,2023-Oct-18,375199.7412,5031216.5636,45.417342,-75.600489,472
CARLING AVE @ PRESTON ST,49064,0.0362,772,54,2023-Dec-19,366829.71,5028935.5534,45.397611,-75.707711,473
RUSSELL RD @ WALKLEY RD,49764,0.099,105,51,2023-Sep-28,374674.7439,5028499.5413,45.392949,-75.607581,474
MEADOWLANDS DR @ MERIVALE RD,50277,0.0246,898,188,2023-Sep-26,364858.6999,5023725.5104,45.350903,-75.733517,475
CARLING AVE @ CLYDE AVE/COLE AVE,51119,0.0277,396,16,2023-Dec-05,363520.6906,5026850.5421,45.379135,-75.75022,476
INDUSTRIAL AVE/INNES RD @ ST. LAURENT BLVD,55628,0.0489,172,104,2023-May-11,373099.7274,5030005.5667,45.406655,-75.627486,477
FALLOWFIELD RD @ WOODROFFE AVE,55865,0.02,58,235,2023-Sep-26,365085.15,5017903.19,45.298495,-75.731336,478
COVENTRY RD @ VANIER PKWY,60638,0.0222,150,26,2023-Sep-28,370676.3849,5031611.703,45.421338,-75.658226,479
INDUSTRIAL AVE @ RIVERSIDE DR,61415,0.0359,664,406,2023-Sep-28,370684.7186,5030592.5534,45.412168,-75.658255,480
BASELINE RD @ WOODROFFE AVE,62404,0.0279,640,33,2023-Nov-29,362549.6902,5023770.5047,45.351502,-75.762977,481
WEST HUNT CLUB RD @ WOODROFFE AVE,66805,0.0396,82,157,2023-Sep-28,363670.691,5021246.489,45.328698,-75.748972,482
PRINCE OF WALES DR @ WEST HUNT CLUB RD,80553,0.0356,74,201,2023-Sep-26,367458.7103,5021891.5033,45.334174,-75.700571,483
